# HSK标准教程2 (Giáo trình chuẩn HSK 2) – 生词 (trang sách 135–). cột: từ, pinyin, từ loại, bài, ghi chú
吧	ba	trợ.	5	
白	bái	tt.	8	
百	bǎi	số.	14	
帮助	bāngzhù	đgt.	10	
报纸	bàozhǐ	dt.	3	
比	bǐ	giới.	11	
别	bié	phó.	10	
宾馆	bīnguǎn	dt.	13	
长	cháng	tt.	4	
唱歌	chàng gē	đgt.	11	
出	chū	đgt.	2	
穿	chuān	đgt.	12	
次	cì	lượng.	14	
从	cóng	giới.	9	
错	cuò	tt.	9	
打篮球	dǎ lánqiú		6	
大家	dàjiā	đt.	15	
但是	dànshì	liên.	14	
到	dào	đgt.	7	
得	de	trợ.	12	
等	děng	đgt.	8	
弟弟	dìdi	dt.	12	
第一	dì yī	số.	9	
懂	dǒng	đgt.	9	
对	duì	giới.	5	
房间	fángjiān	dt.	3	
非常	fēicháng	phó.	4	
服务员	fúwùyuán	dt.	8	
高	gāo	tt.	2	
告诉	gàosù	đgt.	8	
哥哥	gēge	dt.	10	
给	gěi	giới.	4	
公共汽车	gōnggòng qìchē		7	
公司	gōngsī	dt.	7	
贵	guì	tt.	8	
还	hái	phó.	5	
孩子	háizi	dt.	11	
好吃	hǎochī	tt.	6	
黑	hēi	tt.	8	
红	hóng	tt.	3	
火车站	huǒchēzhàn	dt.	15	
机场	jīchǎng	dt.	7	
鸡蛋	jīdàn	dt.	10	
件	jiàn	lượng.	5	
觉得	juéde	đgt.	1	
教室	jiàoshì	dt.	7	
姐姐	jiějie	dt.	6	
介绍	jièshào	đgt.	4	
进	jìn	đgt.	12	
近	jìn	tt.	12	
就	jiù	phó.	5	
咖啡	kāfēi	dt.	5	
开始	kāishǐ	đgt.	4	
考试	kǎoshì	dt.	5	
可能	kěnéng	tđt.	11	
可以	kěyǐ	tt.	5	
课	kè	dt.	10	
快	kuài	tt.	7	
快乐	kuàilè	tt.	4	
离	lí	đgt.	7	
两	liǎng	số.	4	
零	líng	số.	12	
路	lù	dt.	7	
旅游	lǚyóu	đgt.	1	
慢	màn	tt.	7	
忙	máng	tt.	2	
每	měi	đt.	2	
妹妹	mèimei	dt.	15	
门	mén	dt.	6	
面条	miàntiáo	dt.	6	
男	nán	tt.	11	
牛奶	niúnǎi	dt.	3	
女	nǚ	tt.	11	
旁边	pángbiān	dt.	3	
跑步	pǎo bù	đgt.	2	
便宜	piányi	tt.	11	
票	piào	dt.	15	
妻子	qīzi	dt.	12	
起床	qǐ chuáng	đgt.	2	
千	qiān	số.	3	
铅笔	qiānbǐ	dt.	13	
晴	qíng	tt.	14	
去年	qùnián	dt.	11	
让	ràng	đgt.	8	
日	rì	dt.	15	
上班	shàng bān	đgt.	9	
身体	shēntǐ	dt.	2	
生病	shēng bìng	đgt.	2	
生日	shēngrì	dt.	4	
时间	shíjiān	dt.	2	
事情	shìqing	dt.	8	
手表	shǒubiǎo	dt.	3	
手机	shǒujī	dt.	10	
说话	shuō huà	đgt.	11	
送	sòng	đgt.	3	
虽然	suīrán	liên.	14	
所以	suǒyǐ	liên.	6	
它	tā	đt.	1	
踢足球	tī zúqiú		1	
题	tí	dt.	9	
跳舞	tiào wǔ	đgt.	9	
外	wài	dt.	6	
完	wán	đgt.	9	
玩儿	wánr	đgt.	14	
晚上	wǎnshang	dt.	4	
往	wǎng	giới.	13	
为什么	wèi shénme		1	
问	wèn	đgt.	4	
问题	wèntí	dt.	9	
西瓜	xīguā	dt.	10	
希望	xīwàng	đgt.	9	
洗	xǐ	đgt.	10	
小时	xiǎoshí	dt.	7	
笑	xiào	đgt.	13	
新	xīn	tt.	1	
姓	xìng	đgt.	11	
休息	xiūxi	đgt.	2	
雪	xuě	dt.	12	
颜色	yánsè	dt.	3	
眼睛	yǎnjing	dt.	1	
羊肉	yángròu	dt.	6	
药	yào	dt.	2	
要	yào	tđt.	1	
也	yě	phó.	1	
一下	yíxià	sl.	3	
已经	yǐjīng	phó.	4	
一起	yìqǐ	phó.	1	
意思	yìsi	dt.	14	phụ lục ghi bài 5; mục lục và bảng từ ghép (有意思) ghi bài 14
因为	yīnwèi	liên.	6	
阴	yīn	tt.	15	
游泳	yóu yǒng	đgt.	6	
右边	yòubian	dt.	11	
鱼	yú	dt.	5	
远	yuǎn	tt.	7	
运动	yùndòng	dt./đgt.	1	
再	zài	phó.	8	
早上	zǎoshang	dt.	2	
丈夫	zhàngfu	dt.	3	
找	zhǎo	đgt.	8	
着	zhe	trợ.	13	
真	zhēn	phó.	3	
正在	zhèngzài	phó.	10	
知道	zhīdào	đgt.	2	
准备	zhǔnbèi	đgt.	5	
走	zǒu	đgt.	7	
最	zuì	phó.	1	
左边	zuǒbian	dt.	3	
