地	de	de	dì	1	-ly
咳	hāi	hāi	ké	5	sound of sighing
掺	chān	chān	càn	7	variant of 搀
嚼	jiáo	jiáo	jué	7	to chew
略	lüè	lu:è	lüè	7	brief; sketchy
嗯	-	ēn	ń		(a groaning sound)
