# 专有名词
北京	Běijīng	11
大卫	Dàwèi	13
李月	Lǐ Yuè	3
美国	Měiguó	3
王方	Wáng Fāng	10
谢朋	Xiè Péng	10
张	Zhāng	14
中国	Zhōngguó	3
