# 新HSK教程1 – 词语表 (trang sách 122–128). cột: từ, pinyin, bài, siêu cương(*)
些	xiē	6	
写	xiě	14	
谢谢	xièxie	1	
新	xīn	5	
星期	xīngqī	5	
星期日	Xīngqīrì	5	
星期天	Xīngqītiān	5	
休息	xiūxi	5	
学	xué	11	
学生	xuéshēng	1	
学习	xuéxí	9	
学校	xuéxiào	8	
雪	xuě	12	
药	yào	12	*
要	yào	11,13,15	
也	yě	2	
一	yī	4	
一半	yíbàn	13	
一下	yíxià	13	
一点儿	yìdiǎnr	12	
一些	yìxiē	5	
衣服	yīfu	10	
医	yī	11	*
医生	yīshēng	8	
医院	yīyuàn	7	
椅子	yǐzi	9	
有	yǒu	4	
有的	yǒude	14	
有点儿	yǒudiǎnr	12	
有些	yǒuxiē	14	
雨	yǔ	12	
元	yuán	10	
月	yuè	5	
再	zài	12,13	
再见	zàijiàn	1	
在	zài	7,8,11	
早	zǎo	15	
早饭	zǎofàn	13	
早上	zǎoshang	7	
怎么	zěnme	6	
怎么样	zěnmeyàng	10	
找	zhǎo	11	
这	zhè	3	
这边	zhèbiān	10	
这个	zhège	13	
这里	zhèlǐ	12	
这儿	zhèr	10	
这些	zhèxiē	10	
真	zhēn	5	
正在	zhèngzài	11	
只	zhī	8	
知道	zhīdào	11	
中午	zhōngwǔ	14	
中学	zhōngxué	14	
中学生	zhōngxuéshēng	14	
住	zhù	15	
桌子	zhuōzi	8	
字	zì	14	
昨天	zuótiān	11	
坐	zuò	6,13	
做	zuò	5,9	
做饭	zuò fàn	5	
