# 超纲词: từ, pinyin, từ loại, bài, cấp HSK 2.0 thực tế (trống = sách không ghi)
班	bān	dt.	13	3
度	dù	dt.	12	
粉色	fěnsè	dt.	3	6
更	gèng	phó.	15	3
公斤	gōngjīn	lượng.	6	3
过	guò	đgt.	7	3
欢迎	huānyíng	đgt.	9	3
接	jiē	đgt.	4	3
经常	jīngcháng	phó.	6	3
米	mǐ	lượng.	2	3
拿	ná	đgt.	13	3
以后	yǐhòu	dt.	5	
一直	yìzhí	phó.	13	3
长	zhǎng	đgt.	13	3
自行车	zìxíngchē	dt.	6	3
